,Image,Accuracy,F1,Jaccard,Recall,Precision
338,0010_output-slice475,0.9900390625,0.015444015444015444,0.007782101167315175,1.0,0.007782101167315175
339,0011_output-slice271,1.0,1.0,1.0,1.0,1.0
340,0011_output-slice274,0.9994140625,0.6341463414634146,0.4642857142857143,0.7647058823529411,0.5416666666666666
341,0011_output-slice278,0.9986328125,0.7682119205298014,0.6236559139784946,1.0,0.6236559139784946
342,0011_output-slice281,0.9976953125,0.7611336032388664,0.6143790849673203,0.9791666666666666,0.6225165562913907
343,0011_output-slice287,0.9981640625,0.9111531190926276,0.8368055555555556,1.0,0.8368055555555556
344,0011_output-slice290,0.997734375,0.9118541033434651,0.8379888268156425,1.0,0.8379888268156425
345,0011_output-slice292,0.9980859375,0.9349269588313412,0.8778054862842892,0.9971671388101983,0.88
346,0011_output-slice305,0.996796875,0.9445196211096076,0.8948717948717949,1.0,0.8948717948717949
347,0011_output-slice312,0.996484375,0.9524815205913411,0.9092741935483871,0.9966850828729282,0.9120323559150657
348,0011_output-slice318,0.996640625,0.96286701208981,0.9283930058284763,0.9982094897045658,0.9299416180150125
349,0011_output-slice320,0.995859375,0.9573612228479486,0.9182098765432098,0.9883720930232558,0.9282371294851794
350,0011_output-slice323,0.9955078125,0.9571375326127469,0.9177984274481773,0.9899768696993061,0.9264069264069265
351,0011_output-slice327,0.9948046875,0.955324151830702,0.9144694533762058,0.9951014695591323,0.9186046511627907
352,0011_output-slice328,0.994921875,0.9576822916666669,0.9188007495315428,0.9972881355932204,0.9211020663744521
353,0011_output-slice329,0.9961328125,0.968400893712097,0.9387376237623762,0.9941022280471822,0.9439950217797137
354,0011_output-slice330,0.994375,0.9557467732022127,0.9152442613301942,0.9987154784842646,0.9163229228049499
355,0011_output-slice332,0.9943359375,0.95781204538842,0.9190396426577331,0.9969715324046032,0.921612541993281
356,0011_output-slice335,0.993984375,0.9573879358052019,0.9182590233545648,0.9931113662456946,0.9241452991452992
357,0011_output-slice342,0.993046875,0.9570463320463319,0.917630726515502,0.9668454412481716,0.9474438604873388
358,0011_output-slice346,0.9846484375,0.915610908310071,0.8443564356435643,0.9712984054669704,0.8659626320064988
359,0011_output-slice355,0.98328125,0.9161113288906312,0.8452079566003616,0.9885786802030457,0.8535427319211103
360,0011_output-slice362,0.979140625,0.9025191675794085,0.8223552894211577,0.984468339307049,0.833164812942366
361,0011_output-slice366,0.9737109375,0.8901583156520319,0.8020588235294117,0.98625678119349,0.8111243307555027
362,0011_output-slice374,0.97984375,0.9269535673839185,0.8638522427440634,0.9858476362541403,0.8746994389527117
363,0011_output-slice377,0.97671875,0.9192411924119241,0.8505516549648947,0.9755536381938452,0.8690750704586215
364,0011_output-slice378,0.9765625,0.9207188160676533,0.8530852105778648,0.9897727272727272,0.8606719367588933
365,0011_output-slice381,0.97828125,0.9303258145363409,0.8697282099343955,0.9903948772678762,0.8771266540642723
366,0011_output-slice382,0.9808203125,0.9393002843367536,0.8855477855477856,0.9945026178010471,0.8899039587725462
367,0011_output-slice406,0.989453125,0.9625520110957003,0.9278074866310161,0.9971264367816092,0.9302949061662198
368,0011_output-slice407,0.9878125,0.9562289562289562,0.9161290322580645,0.9988276670574443,0.9171151776103337
369,0011_output-slice411,0.979140625,0.9224738675958187,0.8561034761519806,0.9962370649106302,0.8588807785888077
370,0011_output-slice414,0.9751171875,0.9027926140698915,0.8228094575799721,0.9986495611073599,0.8237259816207184
371,0011_output-slice415,0.9744921875,0.8978570311277961,0.8146466080045416,0.9989557953358859,0.8153409090909091
372,0011_output-slice432,0.9903515625,0.7908552074513125,0.65406162464986,1.0,0.65406162464986
373,0011_output-slice433,0.99203125,0.8023255813953488,0.6699029126213593,1.0,0.6699029126213593
374,0011_output-slice438,0.9955859375,0.11023622047244094,0.058333333333333334,1.0,0.058333333333333334
375,0013_output-slice276,0.998984375,0.0,0.0,0.0,1.0
376,0013_output-slice283,0.9987890625,0.752,0.6025641025641025,0.618421052631579,0.9591836734693877
377,0013_output-slice284,0.99890625,0.7971014492753623,0.6626506024096386,0.6707317073170732,0.9821428571428571
378,0013_output-slice286,0.998828125,0.8369565217391304,0.719626168224299,0.7264150943396226,0.9871794871794872
379,0013_output-slice287,0.9986328125,0.8275862068965516,0.7058823529411765,0.717948717948718,0.9767441860465116
380,0013_output-slice289,0.9985546875,0.8340807174887891,0.7153846153846154,0.7209302325581395,0.9893617021276596
381,0013_output-slice291,0.998359375,0.8444444444444443,0.7307692307692307,0.7450980392156863,0.9743589743589743
382,0013_output-slice293,0.998359375,0.8645161290322582,0.7613636363636364,0.783625730994152,0.9640287769784173
383,0013_output-slice301,0.9983984375,0.9216061185468452,0.8546099290780141,0.8892988929889298,0.9563492063492064
384,0013_output-slice306,0.9984765625,0.9399075500770415,0.8866279069767442,0.8997050147492626,0.9838709677419355
385,0013_output-slice311,0.99890625,0.9661835748792271,0.9345794392523364,0.9828009828009828,0.9501187648456056
386,0013_output-slice316,0.9980859375,0.9512437810945275,0.9070208728652751,0.9299610894941635,0.9735234215885947
387,0013_output-slice328,0.9922265625,0.8873797396717601,0.797558494404883,0.8789237668161435,0.896
388,0013_output-slice335,0.99171875,0.9171227521501173,0.8469314079422383,0.9002302379125096,0.9346613545816733
389,0013_output-slice337,0.989921875,0.9094736842105263,0.833976833976834,0.8715534633490248,0.9508437270726339
390,0013_output-slice349,0.9903125,0.9442946990116802,0.894468085106383,0.9602558245774326,0.9288555015466196
391,0013_output-slice351,0.9889453125,0.938837259563432,0.8847250509164969,0.9390402075226978,0.9386343993085566
392,0013_output-slice353,0.9900390625,0.9493343930061593,0.903555219364599,0.9586677367576244,0.940181031090122
393,0013_output-slice363,0.9910546875,0.96148023549201,0.9258179462261095,0.9811191211809132,0.9426121372031663
394,0013_output-slice366,0.9917578125,0.9650720079457044,0.9325015994881638,0.9901494565217391,0.9412334517274782
395,0013_output-slice371,0.9921875,0.9671160802367642,0.9363260108245781,0.9741636303411726,0.96016976820111
396,0013_output-slice377,0.9924609375,0.9680516470782983,0.9380814886108437,0.9795644891122278,0.9568062827225131
397,0013_output-slice378,0.9929296875,0.9695440013461215,0.9408883082952318,0.9719973009446694,0.9671030547163477
398,0013_output-slice381,0.9921484375,0.9655998630840321,0.9334877564526803,0.9815588030619345,0.9501515661839003
399,0013_output-slice385,0.9913671875,0.9589448263050344,0.9211277658815132,0.9772813328284741,0.9412837345003647
400,0013_output-slice390,0.9900390625,0.9409858828974774,0.888548951048951,0.9897760467380721,0.8967798853109836
401,0013_output-slice404,0.9972265625,0.9473684210526315,0.9,0.9845916795069337,0.9128571428571428
402,0013_output-slice405,0.9978125,0.9540229885057472,0.9120879120879121,0.9931623931623932,0.9178515007898894
403,0013_output-slice406,0.998125,0.9545454545454545,0.9130434782608695,1.0,0.9130434782608695
404,0013_output-slice408,0.9988671875,0.9617918313570487,0.9263959390862944,1.0,0.9263959390862944
405,0013_output-slice410,0.9988671875,0.9362637362637362,0.8801652892561983,1.0,0.8801652892561983
406,0013_output-slice413,0.999140625,0.0,0.0,0.0,1.0
